Type,Gender,Discipline,Classification,Threshold
field,m,decathlon_u18,"III j.",2400
field,m,nonathlon_u16,SMK,6000
field,m,nonathlon_u16,I,5300
field,m,nonathlon_u16,II,4700
field,m,nonathlon_u16,III,3800
field,m,nonathlon_u16,"I j.",3000
field,m,nonathlon_u16,"II j.",2600
field,m,nonathlon_u16,"III j.",2200
field,m,octathlon_u16,SMK,5200
field,m,octathlon_u16,I,4500
field,m,octathlon_u16,II,3900
field,m,octathlon_u16,III,3300
field,m,octathlon_u16,"I j.",2800
field,m,octathlon_u16,"II j.",2400
field,m,octathlon_u16,"III j.",2200
field,m,heptathlon,LM,5800
field,m,heptathlon,SM,5200
field,m,heptathlon,SMK,4750
field,m,heptathlon,I,4000
field,m,heptathlon,II,3400
field,m,heptathlon,III,2800
field,m,heptathlon,"I j.",2400
field,m,heptathlon,"II j.",2100
field,m,heptathlon,"III j.",2000
field,m,heptathlon_u20,SMK,4200
field,m,heptathlon_u20,I,3700
field,m,heptathlon_u20,II,3100
field,m,heptathlon_u20,III,2450
field,m,heptathlon_u20,"I j.",2150
field,m,heptathlon_u20,"II j.",1850
field,m,heptathlon_u20,"III j.",1450
field,m,heptathlon_u18,SMK,4050
field,m,heptathlon_u18,I,3550
field,m,heptathlon_u18,II,2950
field,m,heptathlon_u18,III,2300
field,m,heptathlon_u18,"I j.",2000
field,m,heptathlon_u18,"II j.",1700
field,m,heptathlon_u18,"III j.",1300
field,m,heptathlon_u16,I,4300
field,m,heptathlon_u16,II,3850
field,m,heptathlon_u16,III,3350
field,m,heptathlon_u16,"I j.",2850
field,m,heptathlon_u16,"II j.",2400
field,m,heptathlon_u16,"III j.",1800
field,m,pentathlon,SMK,3600
field,m,pentathlon,I,3200
field,m,pentathlon,II,2700
field,m,pentathlon,III,2200
field,m,pentathlon,"I j.",1950
field,m,pentathlon,"II j.",1650
field,m,pentathlon,"III j.",1250
field,f,high_jump,LM,1.9
field,f,high_jump,SM,1.83
field,f,high_jump,SMK,1.75
field,f,high_jump,I,1.65
field,f,high_jump,II,1.5
field,f,high_jump,III,1.4
field,f,high_jump,"I j.",1.3
field,f,high_jump,"II j.",1.25
field,f,high_jump,"III j.",1.2
field,f,pole_vault,LM,4.1
field,f,pole_vault,SM,3.7
field,f,pole_vault,SMK,3.4
field,f,pole_vault,I,3.15
field,f,pole_vault,II,2.8
field,f,pole_vault,III,2.4
field,f,pole_vault,"I j.",2.2
field,f,pole_vault,"II j.",2
field,f,pole_vault,"III j.",1.8
field,f,long_jump,LM,6.6
field,f,long_jump,SM,6.25
field,f,long_jump,SMK,5.8
field,f,long_jump,I,5.5
field,f,long_jump,II,5.2
field,f,long_jump,III,4.7
field,f,long_jump,"I j.",4.2
field,f,long_jump,"II j.",3.9
field,f,long_jump,"III j.",3.6
field,f,triple_jump,LM,14
field,f,triple_jump,SM,13.4
field,f,triple_jump,SMK,12.8
field,f,triple_jump,I,11.8
field,f,triple_jump,II,11.2
field,f,triple_jump,III,10.4
field,f,triple_jump,"I j.",10
field,f,triple_jump,"II j.",9.2
field,f,triple_jump,"III j.",8.5
field,f,discus_throw_1,LM,58
field,f,discus_throw_1,SM,53
field,f,discus_throw_1,SMK,46
field,f,discus_throw_1,I,42
field,f,discus_throw_1,II,36
field,f,discus_throw_1,III,29.5
field,f,discus_throw_1,"I j.",24
field,f,discus_throw_1,"II j.",20
field,f,discus_throw_0.75,SMK,49
field,f,discus_throw_0.75,I,44
field,f,discus_throw_0.75,II,38
field,f,discus_throw_0.75,III,32
field,f,discus_throw_0.75,"I j.",27
field,f,discus_throw_0.75,"II j.",23
field,f,discus_throw_0.75,"III j.",20
field,f,hammer_throw_4,LM,68
field,f,hammer_throw_4,SM,57
